State,Delegates,Biden,Sanders,Warren,Bloomberg,Other,Total
AL,52,286067,74867,25847,52750,12784,452315
AR,31,92998,51294,22918,38324,23865,229399
ME,24,67272,65037,31271,23827,10490,197897
MA,91,468746,371991,300026,164321,92138,1397222
MN,75,287552,222622,114795,62135,58084,745188
NC,110,568528,318721,138477,171657,124259,1321642
OK,47,117552,77302,40676,42243,26166,303939
TN,64,215065,128781,53570,79664,38767,515847
TX,228,716781,622964,237317,299449,203492,2080003
VA,99,705236,306059,142456,127926,41147,1322824
CO,67,220768,329195,158556,171501,20969,900989
UT,29,35089,67783,30939,31785,29200,194796
VT,16,34669,79921,19787,14825,8505,157707
CA,415,963818,1235392,452471,502776,509365,3663822